fixture_id,team,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals
1029862,Paris Saint Germain,5,5,14,4,12,2,6,7,4,65.0,2,0,6,727,676,93.0,0
1029862,Toulouse,6,7,17,4,9,8,15,4,1,35.0,0,0,3,386,325,84.0,0
1030305,Paris Saint Germain,7,2,13,4,9,4,13,6,4,64.0,0,0,3,718,670,93.0,0
1030305,Al-Nassr,2,1,8,5,6,2,12,3,4,36.0,0,0,7,395,336,85.0,0
1030322,Paris Saint Germain,3,6,12,3,4,8,10,3,1,67.0,0,0,3,757,714,94.0,0
1030322,Inter,5,2,10,3,5,5,11,6,2,33.0,1,0,2,355,301,85.0,0
1040930,Paris Saint Germain,5,5,11,1,9,2,10,2,2,76.0,0,0,1,868,818,94.0,0
1040930,Le Havre,1,3,5,1,1,4,9,5,1,24.0,0,0,3,259,212,82.0,0
1044881,Paris Saint Germain,4,8,20,8,11,9,8,9,0,78.0,0,0,0,1001,939,94.0,1.24
1044881,Lorient,0,3,4,1,1,3,6,2,0,22.0,0,0,4,286,218,76.0,0.12
1044890,Toulouse,2,4,8,2,5,3,8,5,1,24.0,0,0,2,232,169,73.0,1.22
1044890,Paris Saint Germain,3,6,16,7,14,2,11,5,3,76.0,3,0,1,767,698,91.0,2.12
1044899,Paris Saint Germain,7,6,17,4,11,6,8,5,1,66.0,0,0,3,733,675,92.0,1.52
1044899,Lens,4,7,12,1,7,5,16,5,2,34.0,5,0,3,358,289,81.0,0.47
1044911,Lyon,8,7,19,4,13,6,9,5,0,31.0,2,0,4,351,287,82.0,2.28
1044911,Paris Saint Germain,8,9,22,5,18,4,5,2,1,69.0,2,0,7,829,771,93.0,4.57
992280,Al-Hilal & Al-Nassr Stars,11,8,21,2,0,0,6,4,2,0.0,1,0,5,0,0,0.0,0
992280,Paris Saint Germain,10,1,12,1,0,0,13,5,2,0.0,1,0,7,0,0,0.0,0
