player,position,passes,key_passes,accuracy
G. Donnarumma,G,0,0,0.0
A. Hakimi,D,0,0,0.0
Marquinhos,D,2,0,66.7
M. Škriniar,D,0,0,0.0
L. Hernández,D,0,0,0.0
W. Zaïre-Emery,M,0,0,0.0
Vitinha,M,30,0,85.7
Lee Kang-In,M,0,0,0.0
O. Dembélé,F,0,0,0.0
K. Mbappé,F,0,0,0.0
B. Barcola,F,0,0,0.0
Danilo Pereira,D,68,0,93.8
C. Ndour,M,0,0,0.0
Carlos Soler,F,34,1,74.8
Marco Asensio,F,39,2,81.4
N. Lemina,Unknown,0,0,0.0
L. Kurzawa,Unknown,0,0,0.0
M. Ugarte,Unknown,0,0,0.0
Ismaël Gharbi,Unknown,54,0,87.1
H. Ekitike,Unknown,0,0,0.0
Fabián Ruiz,M,0,0,0.0
A. Letellier,G,0,0,0.0
Gonçalo Ramos,F,0,0,0.0
Keylor Navas,G,23,0,57.5
Achraf Hakimi,D,56,1,88.5
Sergio Ramos,D,82,0,94.7
Juan Bernat,D,53,1,92.8
Renato Sanches,M,80,1,91.9
Lionel Messi,F,53,2,80.1
Kylian Mbappé,F,33,1,79.9
Neymar,F,59,2,80.1
